 ,Title,Ready,Count,Latest,Days Since,Style,Orig,,,,,,
,A Child is Born,3,11,3/27/2026,103,Latin,,,,,,,
,A Foggy Day (in London town),4,13,5/15/2026,54,Swing,,,,,,,
,A Lotus on Irish Streams,3,7,4/17/2026,82,Ballad,,,,,,,
,Afro Blue,5,18,3/6/2026,124,Latin,,,,,,,
,Agua de Beber,3,8,11/7/2025,243,Latin,,,,,,,
,Alberta,4,15,5/1/2026,68,World,1,,,,,,
,Alice in Wonderland,4,15,5/29/2026,40,Swing,,,,,,,
,All Blues,5,16,7/3/2026,5,Swing,,"plan for bass solo, cymbals @ ending",,,,,
,All the Things You Are,5,17,6/12/2026,26,Swing,,,,,,,
,Also Sprach Zarathustra,4,12,5/22/2026,47,Funk,,,,,,,
,Amphibious,3,9,5/15/2026,54,Funk,,,,,,,
,Angel Eyes,4,14,9/26/2025,285,Swing,,,,,,,
,Au Privave,4,10,2/13/2026,145,Swing,,,,,,,
,Autumn Leaves,5,16,10/17/2025,264,Swing,,,,,,,
,Avalon,3,10,3/20/2026,110,Swing,,accordion,,,,,
,Axel F,4,12,3/27/2026,103,Funk,,,,,,,
,Baby Elephant Walk,3,5,10/17/2025,264,Techno,,,,,,,
,Bad Reputation,3,1,3/17/2023,1209,Pop,,,,,,,
,Beat 70,4,8,12/26/2025,194,Bossa,,,,,,,
,Beautiful Love,4,14,4/10/2026,89,Swing,,,,,,,
,Begin the Beguine,3,6,3/6/2026,124,Bossa,,,fix / lose gtr,,,,
,Bemsha Swing,,3,12/30/2022,1286,Swing,,,,,,,
1,Black Orpheus (Manha de Carnaval),4,14,2/20/2026,138,Bossa,,,,,,,
,Blades,3,11,5/22/2026,47,Downtempo,1,,,,,,
,Blue in Green,4,15,7/3/2026,5,Swing,,, ,,,,
,Bluesette,4,14,4/24/2026,75,Swing,,melodica,,,,,
,Bonita,3,7,4/24/2026,75,Bossa,,,,,,,
,Bossa Antigua,4,9,6/12/2026,26,Bossa,,,,,,,
,Brazil,3,10,3/7/2025,488,Bossa,,melodica,,,,,
,Burbling,3,8,3/6/2026,124,World,1,,,,,,
,Bye Bye Blackbird,4,12,4/24/2026,75,Swing,,,,,,,
,"Camilla (the Old, Old story)",5,17,3/20/2026,110,Downtempo,,,,,,,
,Caminhos Cruzados,3,12,7/3/2026,5,Bossa,,,,,,,
,Cantaloupe Island,4,13,4/17/2026,82,Funk,,missing something,,,,,
,Canto de Osshana,2,9,5/29/2026,40,Samba,,,,,,,
,Caravan,5,18,11/7/2025,243,Swing,,,,,,,
,Cast your Fate to the Wind,4,8,8/16/2024,691,Pop,,,,,,,
,Chameleon,5,17,6/13/2025,390,Funk,,,,,,,
,Chega De Saudade,5,7,11/7/2025,243,Bossa,,,,,,,
,Cissy Strut,4,14,6/5/2026,33,Funk,,try transpose bridge like scofield,,,,,
,Close your Eyes,4,10,2/20/2026,138,Latin,,,,,,,
,Cold Duck Time,4,16,5/8/2026,61,Funk,,,,,,,
,Coming Home,3,13,10/3/2025,278,Pop,,add horn sust comp,,,,,
,Corcovado,3,14,5/1/2026,68,Bossa,,FIX DRUMS not LOOPING!,,,,,
,CQ,,4,11/15/2024,600,Ambient,1,,,,,,
,Days of Wine and Roses,4,11,12/5/2025,215,Swing,,,,,,,
,De Volta Ao Samba,3,10,5/29/2026,40,Bossa,,,,,,,
,Deacon Blues,,6,2/6/2026,152,Pop,,,,,,,
,Desafinado,3,8,3/20/2026,110,Bossa,,,,,,,
,Desde,3,15,6/26/2026,12,Bossa,,,,,,,
,Dindi,4,13,1/23/2026,166,Techno,,,,,,,
,Eleven Twelve,5,16,12/19/2025,201,Funk,1,,,,,,
,Emily,5,13,1/23/2026,166,Swing,,,,,,,
,Estate,3,11,1/30/2026,159,Techno,,,,,,,
,Eu Quero e Sossego,3,9,5/8/2026,61,Bossa,,,,,,,
,Feel like going home,2,8,3/27/2026,103,Pop,,,,,,,
,Feel Like Making Love,,3,7/3/2026,5,Pop,,,,,,,
,Fly me to the Moon,4,15,5/22/2026,47,Swing,fix gtr,,,,,,
,Footprints,4,13,4/24/2026,75,Swing, ,,,,,,
,Forrozinho em Cazadero,3,3,4/10/2026,89,Latin,,,,,,,
,Fotografia,4,15,2/13/2026,145,Bossa,,,,,,,
,Freedom Jazz Dance,3,12,7/3/2026,5,Funk,,"cool intromessy but good, excellent poem",,,,,
,Frog,4,11,2/13/2026,145,Funk,,,,,,,
,Fulani Chant (WFW Isolation Remix),3,3,7/14/2023,1090,Techno,1,,,,,,
,"Gee Baby, Ain’t I Good to You",,6,6/13/2025,390,Swing,,,,,,,
,Gentle Rain,4,13,5/1/2026,68,Bossa,,,,,,,
,Georgia On My Mind,5,9,1/2/2026,187,Ballad,,,,,,,
,Girl from Ipanema,,6,8/1/2025,341,Bossa,,,,,,,
,Girl Talk,3,8,6/5/2026,33,Swing,,,,,,,
,Give me the Night,4,9,10/31/2025,250,Funk,,,,,,,
,God Bless the Child,4,11,10/24/2025,257,Funk,,,,,,,
,Goodbye Look,4,10,2/20/2026,138,Pop,,,,,,,
,Goodbye Pork Pie Hat,4,7,5/22/2026,47,Swing,,,,,,,
,Hearts of Space,3,4,2/10/2023,1244,Downtempo,1,,,,,,
,Here comes the Flood,3,4,4/19/2024,810,Pop,,,,,,,
,Here's that Rainy Day,5,6,10/17/2025,264,Ballad,,,,,,,
1,"Hi Lili, Hi Lo",5,7,9/20/2024,656,Ballad,,,,,,,
,Homagenem,,0,12/30/1899,46211,Bossa,,,,,,,
,How Deep is the Ocean,5,14,3/6/2026,124,Ballad,,,,,,,
,How High the Moon,4,12,12/5/2025,215,Swing,,,,,,,
,How Insensitive,3,13,6/26/2026,12,Bossa,,,,,,,
,I Can't Get Started,3,9,2/20/2026,138,Swing,,,,,,,
,I Love Paris,4,11,1/30/2026,159,Techno,,,,,,,
,I Mean You,4,9,7/25/2025,348,Pop,,,,,,,
,Icarus,4,13,1/9/2026,180,Latin,,,,,,,
,If I were a bell,4,15,3/27/2026,103,Swing,,,,,,,
,If you never come to me,3,3,5/29/2026,40,Latin,,,,,,,
,If you want me to stay,4,11,2/6/2026,152,Funk,,,,,,,
